,description,features,floor_info,heading,owner_dealer,owner_dealer_name,posted_date,price,property_age,property_type,society,super_buildup
0,Steal the deal | book a rental flat now in a gated society apartment at the best price Near by prestige technology,Power Back-up,7th Floor (out of 20),"1 BHK, Residential Apartment for rent in Kadubeesanahalli",Dealer,SquarePlums,"Nov15,2017", 18000,0 to 1 years old,Furnished,AssetzEastPoint,600 Sq.Ft. 
1,"1 bedroom individual houses for rent in kadubeesanahalli, bangalore. The individual houses is a semi furnished prop",Reserved Parking,,"1 Bedroom, Independent House/Villa for rent in Kaverappa Layout",Owner,ashoka,"Nov25,2017", 11000,1 to 5 years old,Semifurnished,EmbassyTechSquare,600 Sq.Ft. 
2,"Single bed available for rent in a 3 bhk flat | furnished flatWhitefield, karnataka, indiaSingle bed available in",Power Back-up,4th Floor (out of 15),"1 BHK, Residential Apartment for rent in Kadubeesanahalli",Dealer,SquarePlums,"Nov17,2017", 8500,1 to 5 years old,Furnished,BsrGitaar,600 Sq.Ft. 
3,"This 1 bhk house, has a covered area of 496 sq-Ft and is well planned with all modern amenities. The house hasvitri",,,"1 Bedroom, Independent House/Villa for rent in Kadubeesanahalli",Dealer,SRISAIREALESTATE,"Nov24,2017", 13000,0 to 1 years old,Semifurnished,NormalHouse,1200 Sq.Ft. 
4,"2bhk: 2bedrooms, hall, kitchen , 2 bathrooms, with all fitting and fixtures excellent ventilation and sunlight100% ",Power Back-up,2nd Floor (out of 5),"2 BHK, Residential Apartment for rent in Kaverappa Layout",Dealer,MagicProperties,"Nov24,2017", 35000,1 to 5 years old,Furnished,OnRequest,1400 Sq.Ft. 
5,"Very spacious 3 bhk apartment with facilities like 24x7 security, children play area, swimming pool, gym, lifts, ra",Power Back-up,4th Floor (out of 4),"3 BHK, Residential Apartment for rent in Kadubeesanahalli",Owner,chintan,"Nov26,2017", 30000,1 to 5 years old,Semifurnished,SlsSunrise,1544 Sq.Ft. 
6,"Excellent 2 bhk fully furnished all amenities apartment flat for rent at kadubeesanahalli near cisco back gate, vit",Power Back-up,3rd Floor (out of 7),"2 BHK, Residential Apartment for rent in Kadubeesanahalli",Dealer,SRISAIREALESTATE,"Nov25,2017", 23000,0 to 1 years old,Semifurnished,NormalAppartment,1250 Sq.Ft. 
7,We have 3 bhk semi funished flat for rent in  sraddha  palmera  spacious ventilated good locality with all modern a,Power Back-up,1st Floor (out of 5),"3 BHK, Residential Apartment for rent in Kaverappa Layout",Dealer,VGPRealtors,"Nov13,2017", 29000,1 to 5 years old,Semifurnished,SraddhaPalmera,1470 Sq.Ft. 
8,"2bhk basic flat for rent at marathahalli, Near to spice garden. The flat has a spacious hall,, 2 bedrooms , 2 bathr",Power Back-up,2nd Floor (out of 5),"2 BHK, Residential Apartment for rent in Kadubeesanahalli",Dealer,SRISAIREALESTATE,"Nov03,2017", 27000,1 to 5 years old,Semifurnished,SriSaiEnclaveApt2,1250 Sq.Ft. 
9,We have 2 bhk semi funished flat for rent in  kethana  eternal blossom spacious ventilated good locality with all m,Power Back-up,Ground Floor (out of 5),"2 BHK, Residential Apartment for rent in Kaverappa Layout",Dealer,VGPRealtors,"Nov15,2017", 30000,1 to 5 years old,Semifurnished,KethanaEternalBlossom,1400 Sq.Ft. 
10,"3bhk: 2bedrooms, hall, kitchen , 3 bathrooms, with all fitting and fixtures excellent ventilation and sunlight100% ",Power Back-up,1st Floor (out of 5),"3 BHK, Residential Apartment for rent in Kaverappa Layout",Dealer,MagicProperties,"Nov14,2017", 29000,1 to 5 years old,Semifurnished,SraddhaPalmera,1580 Sq.Ft. 
11,"100 meters to main road near by school,Atm bank ,24 hours water lift,Power backup,Security also available",Power Back-up,2nd Floor (out of 4),"2 BHK, Residential Apartment for rent in Kaverappa Layout",Dealer,NSEntrprises,"Nov16,2017", 21000,1 to 5 years old,Furnished,OnRequest,1100 Sq.Ft. 
12,"This 1 bhk house, has a covered area of 496 sq-Ft and is well planned with all modern amenities. The house hasvitri",Feng Shui / Vaastu Compliant,Facing Road Width: 30 Ft,"1 Bedroom, Independent House/Villa for rent in Kadubeesanahalli",Dealer,SRISAIREALESTATE,"Nov24,2017", 12000,0 to 1 years old,Semifurnished,NormalHouse,1200 Sq.Ft. 
13,"Spacious 2 bhk house for rent at kadubeesanahalli. The house has a  ventilated hall, 2 bedrooms, 2 bathrooms, kitch",Feng Shui / Vaastu Compliant,Facing Road Width: 30 Ft,"2 Bedroom, Independent House/Villa for rent in Kadubeesanahalli",Dealer,SRISAIREALESTATE,"Nov18,2017", 16500,0 to 1 years old,Semifurnished,NormalHouse,1260 Sq.Ft. 
14,"A spacious multi-Storey apartment is available for rent in kadubeesanahalli, Bangalore - East. It has 2 bedrooms an",Power Back-up,,"2 BHK, Independent/Builder Floor for rent in Kadubeesanahalli",Dealer,OmSaiEnterprise,"Oct05,2017", 22000,,,,1212 Sq.Ft. 
15,Pleasant 2bhk semi furnished basic amenities apartment for rent at kadubeesanahalli near cisco back gate bangalore ,Power Back-up,Facing Road Width: 30 Ft,"2 Bedroom, Independent House/Villa for rent in Kadubeesanahalli",Dealer,SRISAIREALESTATE,"Nov24,2017", 25000,0 to 1 years old,Semifurnished,NormalAppartment,1250 Sq.Ft. 
16,"Excellent 2bhk flat for rent at kadubeesanahalli, Backside cisco. The flat has a spacious hall, 2 bedrooms, 2bathro",Power Back-up,2nd Floor (out of 5),"2 BHK, Residential Apartment for rent in Kadubeesanahalli",Dealer,SRISAIREALESTATE,"Nov01,2017", 27000,1 to 5 years old,Semifurnished,SriSaiEnclaveApt2,1250 Sq.Ft. 
17,"2bhk: 2bedrooms, hall, kitchen , 2 bathrooms, with all fitting and fixtures excellent ventilation and sunlight100% ",Power Back-up,Ground Floor (out of 5),"2 BHK, Residential Apartment for rent in Kaverappa Layout",Dealer,MagicProperties,"Nov23,2017", 35000,1 to 5 years old,Semifurnished,KethanaEternalBlossom,1275 Sq.Ft. 
18,"3bhk: 3bedrooms, Hall, Kitchen , 3 bathrooms, With all fitting and fixtures excellent ventilation and sunlight100% ",Power Back-up,14th Floor (out of 17),"3 BHK, Residential Apartment for rent in Kaverappa Layout",Dealer,MagicProperties,"Nov09,2017", 45000,1 to 5 years old,Semifurnished,VaswaniReserve,1970 Sq.Ft. 
19,"2 bhk semi furnished flat with basic amenities like lift, Security, Power back up, Car parking, Modular kitceh, Bal",Power Back-up,,"2 BHK, Independent/Builder Floor for rent in Kadubeesanahalli",Dealer,OmSaiEnterprise,"Nov08,2017", 17000,,,,1124 Sq.Ft. 
20,We have 3 bhk semi funished flat for rent in vaswani reserve  spacious ventilated good locality with all modern ame,Power Back-up,13th Floor (out of 17),"3 BHK, Residential Apartment for rent in Kaverappa Layout",Dealer,VGPRealtors,"Nov22,2017", 50000,1 to 5 years old,Semifurnished,VaswaniReserve,1970 Sq.Ft. 
21,"A spacious 3bhk with good light and ventilation,Over looking the pool,With good wood work/storage space,Society has",Power Back-up,4th Floor (out of 16),"3 BHK, Residential Apartment for rent in Kaverappa Layout",Dealer,NestRealtors,"Nov07,2017", 40000,5 to 10 years old,Semifurnished,VaswaniReserve,1820 Sq.Ft. 
22,"Vaswani reserve is located off sarjapur outer ring road, It has easy access to many i.T companies like j.P morgan, ",Power Back-up,6th Floor (out of 17),"4 BHK, Residential Apartment for rent in Kaverappa Layout",Dealer,Arhaanrealty,"Nov13,2017", 1 Lac,1 to 5 years old,Semifurnished,VaswaniReserve,4495 Sq.Ft. 
23,"New apartment semi furnished 2 bhk  bedrooms, Hall, Modular kitchen , Modular wardrobes, 2 bathrooms, 2balconies, W",Power Back-up,4th Floor (out of 9),"2 BHK, Residential Apartment for rent in Kadubeesanahalli",Dealer,V4URealEstate,"Oct11,2017", 23000,0 to 1 years old,Semifurnished,OnRequest,2000 Sq.Ft. 
24,"Excellent 2bhk flat for rent at kadubeesanahalli, Backside cisco. The flat has a spacious hall, 2 bedrooms, 2bathro",Power Back-up,2nd Floor (out of 5),"2 BHK, Residential Apartment for rent in Kadubeesanahalli",Dealer,SRISAIREALESTATE,"Oct20,2017", 25000,1 to 5 years old,Semifurnished,SriSaiEnclaveApt2,1250 Sq.Ft. 
25,"Semi furnished 2 bhk  bedrooms, Hall, Modular kitchen , Modular wardrobes, 2 bathrooms, 2balconies, With all fittin",Power Back-up,1st Floor (out of 7),"2 BHK, Residential Apartment for rent in Kadubeesanahalli",Dealer,V4URealEstate,"Nov10,2017", 28000,1 to 5 years old,Furnished,OnRequest,1300 Sq.Ft. 
26,Residencial purpose rent in vasanth nagar road,,2nd Floor (out of 4),"2 BHK, Residential Apartment for rent in Kaverappa Layout",Dealer,AFRealEstate,"Oct10,2017", 30000,0 to 1 years old,Semifurnished,Apartmentts,500 Sq.Ft. 
27,"Excellent 2bhk flat for rent at kadubeesanahalli, Near by new vergin college. The flat has a spacious hall, 2 bedro",Power Back-up,1st Floor (out of 6),"2 BHK, Residential Apartment for rent in Kadubeesanahalli",Dealer,SRISAIREALESTATE,"Oct26,2017", 28000,1 to 5 years old,Semifurnished,SriSaiEnclaveApt2,1250 Sq.Ft. 
28,"Excellent 2bhk flat for rent at kadubeesanahalli, Backside cisco. The flat has a spacious hall, 2 bedrooms, 2bathro",Power Back-up,1st Floor (out of 5),"2 BHK, Residential Apartment for rent in Kadubeesanahalli",Dealer,SRISAIREALESTATE,"Oct26,2017", 30000,1 to 5 years old,Semifurnished,SriSaiEnclaveApt2,1250 Sq.Ft. 
29,Residencial purpose rent in vasanth nagar road,Reserved Parking,2nd Floor (out of 4),"3 BHK, Residential Apartment for rent in Kaverappa Layout",Dealer,AFRealEstate,"Oct10,2017", 50000,1 to 5 years old,Semifurnished,Apartmnet,500 Sq.Ft. 
